start funds,n samples,start price,end price,n buys,n sells,end funds,net,exchange,pair
100,2024,12990.1,11750.0,16,15,87.88570831587657,-12.11429168412343,Kraken,BTCEUR
100,2015,12840.0,11654.96,16,15,88.00143985605344,-11.998560143946563,Bitstamp,BTCEUR
100,2022,13895.84,12657.69,16,15,88.07583326951257,-11.924166730487428,Cexio,BTCEUR
100,2017,14565.63,13399.0,17,16,88.25547572033432,-11.744524279665683,BitTrex,BTCUSD
100,2017,14751.4,13339.81,16,15,88.26214336611531,-11.73785663388469,Poloniex,BTCUSD
100,2023,13043.22,12223.98,5,4,88.93250687036559,-11.067493129634414,LakeBTC,BTCEUR
100,2021,10769.0,9999.0,2,1,89.05296226415093,-10.947037735849065,Kraken,BTCGBP
100,2022,11697.75,10685.0,10,9,89.11509215865058,-10.884907841349417,Coinbase,BTCGBP
100,2024,15588.85,14538.08,5,4,89.20018080565566,-10.799819194344337,LakeBTC,BTCUSD
100,2016,15216.03,14129.89,14,13,89.49367377660286,-10.506326223397139,Bitstamp,BTCUSD
100,2016,15329.15,14053.48,12,11,89.71422399792971,-10.285776002070293,Gemini,BTCUSD
100,2021,467.06,516.99,1,0,90.0,-10.0,Kraken,ETHGBP
100,2021,11909.66,11180.85,1,0,90.0,-10.0,LakeBTC,BTCGBP
100,2017,2820.0,2715.6,4,4,97.50850287185115,-2.4914971281488505,BitTrex,BCHUSD
100,2015,12315.0,11286.0,16,16,97.60347645627004,-2.3965235437299555,Bitfinex,BTCEUR
100,2024,2541.4,2380.4,2,2,98.04793097495072,-1.9520690250492834,Kraken,BCHEUR
100,2020,14629.0,13360.0,15,15,98.20789199416984,-1.7921080058301584,Bitfinex,BTCUSD
100,2023,2989.99,2867.31,3,3,98.20922668841568,-1.7907733115843172,Coinbase,BCHUSD
100,2017,2850.0,2727.0,3,3,98.24391879297923,-1.7560812070207703,Poloniex,BCHUSD
100,2023,14573.85,13368.7,14,14,98.37358006624062,-1.6264199337593794,HitBTC,BTCUSD
100,2023,15375.92,14147.95,15,15,98.520898616498,-1.4791013835019982,Coinbase,BTCUSD
100,2020,2815.9,2723.4,2,2,98.67507420269021,-1.3249257973097883,Bitfinex,BCHUSD
100,2023,15104.3,13681.4,15,15,98.7655772676927,-1.2344227323072943,Kraken,BTCUSD
100,2023,2837.79,2721.93,2,2,98.8799260376654,-1.120073962334601,HitBTC,BCHUSD
100,2023,13829.6,12198.31,10,10,99.26475970947216,-0.735240290527841,Coinbase,BTCEUR
100,2023,2901.0,2780.0,2,2,99.39560576400625,-0.6043942359937517,Kraken,BCHUSD
100,2022,17544.48,15870.71,14,14,99.49293037261124,-0.5070696273887592,Cexio,BTCUSD
100,2023,1230.0,1126.89,0,0,100.0,0.0,Kraken,DASHUSD
100,2023,0.9053,0.9812,0,0,100.0,0.0,HitBTC,XEMUSD
100,2023,1.08,1.08,0,0,100.0,0.0,HitBTC,EURUSD
100,2022,0.6928,0.6928,0,0,100.0,0.0,HitBTC,EURGBP
100,2023,726.26,708.27,0,0,100.0,0.0,Kraken,ETHUSD
100,2023,1.25,1.25,0,0,100.0,0.0,Kraken,EOSUSD
100,2023,382.42,335.5,0,0,100.0,0.0,Kraken,XMRUSD
100,2024,1.05,1.05,0,0,100.0,0.0,Kraken,EOSEUR
100,2024,0.9301,0.8279,0,0,100.0,0.0,Kraken,XRPEUR
100,2024,624.86,605.5,0,0,100.0,0.0,Kraken,ETHEUR
100,2024,249.97,231.74,0,0,100.0,0.0,Kraken,LTCEUR
100,2024,1060.0,956.04,0,0,100.0,0.0,Kraken,DASHEUR
100,2023,40.0,40.0,0,0,100.0,0.0,HitBTC,LTCEUR
100,2024,327.03,286.02,0,0,100.0,0.0,Kraken,XMREUR
100,2023,6.37e-06,6.37e-06,0,0,100.0,0.0,Kraken,BTCXRP
100,2022,0.00414,0.00414,0,0,100.0,0.0,Kraken,BTCLTC
100,2022,845.01,815.55,0,0,100.0,0.0,Cexio,ETHUSD
100,2022,4.37,4.37,0,0,100.0,0.0,Cexio,LTCUSD
100,2022,4.23,4.23,0,0,100.0,0.0,Cexio,LTCEUR
100,2023,740.0,724.6,0,0,100.0,0.0,Coinbase,ETHUSD
100,2023,296.17,279.09,0,0,100.0,0.0,Coinbase,LTCUSD
100,2023,660.93,626.94,0,0,100.0,0.0,Coinbase,ETHEUR
100,2023,290.56,270.83,0,0,100.0,0.0,Kraken,LTCUSD
100,2023,217.0,217.0,0,0,100.0,0.0,HitBTC,ETHEUR
100,2020,1185.8,1099.7,0,0,100.0,0.0,Bitfinex,DASHUSD
100,2023,281.02,264.51,0,0,100.0,0.0,HitBTC,LTCUSD
100,2016,733.01,719.93,0,0,100.0,0.0,Gemini,ETHUSD
100,2016,1.19,1.2,0,0,100.0,0.0,Bitstamp,EURUSD
100,2015,246.0,232.49,0,0,100.0,0.0,Bitstamp,LTCEUR
100,2015,616.0,606.99,0,0,100.0,0.0,Bitstamp,ETHEUR
100,2015,0.916,0.8345,0,0,100.0,0.0,Bitstamp,XRPEUR
100,2016,291.86,278.77,0,0,100.0,0.0,Bitstamp,LTCUSD
100,2017,1190.0,1101.0,0,0,100.0,0.0,Poloniex,DASHUSD
100,2016,732.94,728.12,0,0,100.0,0.0,Bitstamp,ETHUSD
100,2017,0.0002755,0.0002475,0,0,100.0,0.0,Bitfinex,IOTBTC
100,2020,279.54,265.18,0,0,100.0,0.0,Bitfinex,LTCUSD
100,2020,367.04,325.88,0,0,100.0,0.0,Bitfinex,XMRUSD
100,2020,9.0,8.02,0,0,100.0,0.0,Bitfinex,EOSUSD
100,2020,700.91,690.24,0,0,100.0,0.0,Bitfinex,ETHUSD
100,2020,4.02,3.3,0,0,100.0,0.0,Bitfinex,IOTUSD
100,2014,0.005736,0.004785,0,0,100.0,0.0,Bitfinex,IOTETH
100,2017,702.11,690.0,0,0,100.0,0.0,Poloniex,ETHUSD
100,2017,369.8,322.24,0,0,100.0,0.0,Poloniex,XMRUSD
100,2017,282.11,265.0,0,0,100.0,0.0,Poloniex,LTCUSD
100,2023,369.27,325.58,0,0,100.0,0.0,HitBTC,XMRUSD
100,2023,9.02,8.04,0,0,100.0,0.0,HitBTC,EOSUSD
100,2023,707.63,692.64,0,0,100.0,0.0,HitBTC,ETHUSD
100,2023,266.0,241.17,0,0,100.0,0.0,Coinbase,LTCEUR
100,2023,284.27,256.51,0,0,100.0,0.0,HitBTC,BTGUSD
100,2024,1.19,1.18,0,0,100.0,0.0,LakeBTC,EURUSD
100,2024,0.0006167000000000001,0.000522,0,0,100.0,0.0,BitTrex,ADAETH
100,2020,2.894e-05,2.714e-05,0,0,100.0,0.0,BitTrex,ADABTC
100,2017,279.0,264.5,0,0,100.0,0.0,BitTrex,LTCUSD
100,2017,370.0,323.45,0,0,100.0,0.0,BitTrex,XMRUSD
100,2017,699.0,689.48,0,0,100.0,0.0,BitTrex,ETHUSD
100,2017,1195.98,1093.09,0,0,100.0,0.0,BitTrex,DASHUSD
100,2017,282.0,255.5,0,0,100.0,0.0,BitTrex,BTGUSD
100,2018,0.7617,0.8115,0,0,100.0,0.0,Poloniex,LTCXMR
100,2018,3.25,3.37,0,0,100.0,0.0,Poloniex,DASHXMR
100,2023,4499.99,4499.99,0,0,100.0,0.0,HitBTC,BTCEUR
100,2023,1195.2,1102.54,0,0,100.0,0.0,HitBTC,DASHUSD
